City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,297.95,87,75,13.48,PN,1684884027
1,papatowai,-46.5619,169.4708,282.59,71,88,4.14,NZ,1684884016
2,waitangi,-43.9535,-176.5597,285.83,95,2,1.79,NZ,1684884013
3,karratha,-20.7377,116.8463,291.48,44,49,2.64,AU,1684884359
4,west island,-12.1568,96.8225,300.14,83,19,2.06,CC,1684884042
5,khorixas,-20.3667,14.9667,292.53,34,0,1.9,NA,1684884090
6,vilyuysk,63.7553,121.6247,280.94,40,99,3.41,RU,1684884146
7,ribeira grande,38.5167,-28.7,290.25,85,13,4.47,PT,1684884036
8,college,64.8569,-147.8028,293.2,30,20,2.57,US,1684884041
9,kodiak,57.79,-152.4072,279.88,93,100,7.2,US,1684884072
10,utrik,11.2278,169.8474,301.08,77,71,7.16,MH,1684884025
11,tura,25.5198,90.2201,293.9,96,97,1.66,IN,1684884127
12,altamont,42.2068,-121.7372,295.24,26,0,6.17,US,1684884361
13,quellon,-43.1167,-73.6167,284.29,76,100,12.35,CL,1684883843
14,ushuaia,-54.8,-68.3,278.96,93,100,1.54,AR,1684884015
15,vydrino,51.485,104.8461,281.01,77,79,0.91,RU,1684884362
16,thompson,55.7435,-97.8558,286.24,38,75,3.09,CA,1684884058
17,khandyga,62.6667,135.6,280.63,47,6,0.97,RU,1684884022
18,kayangel,8.0823,134.7173,301.9,76,70,6.04,PW,1684884066
19,port-aux-francais,-49.35,70.2167,281.02,98,100,13.15,TF,1684884016
20,hithadhoo,-0.6,73.0833,301.06,73,11,2.63,MV,1684884070
21,lebu,-37.6167,-73.65,285.19,75,33,7.99,CL,1684884363
22,grytviken,-54.2811,-36.5092,275.05,82,31,4.77,GS,1684884027
23,saipan,15.1355,145.701,301.54,100,75,9.83,MP,1684884038
24,georgetown,5.4112,100.3354,302.11,82,20,1.03,MY,1684883939
25,isafjordur,66.0755,-23.124,275.92,97,100,14.78,IS,1684884016
26,tukzar,35.9483,66.4213,293.31,40,45,2.19,AF,1684884364
27,edinburgh of the seven seas,-37.0676,-12.3116,286.75,67,71,11.89,SH,1684884014
28,albany,42.6001,-73.9662,295.72,54,26,1.34,US,1684883831
29,kismayo,-0.3582,42.5454,299.86,78,4,5.55,SO,1684884027
30,puerto ayora,-0.7393,-90.3518,299.57,90,90,1.34,EC,1684884031
31,preobrazheniye,42.9019,133.9064,288.05,65,2,2.45,RU,1684884365
32,freeport,40.6576,-73.5832,290.61,50,0,4.63,US,1684884084
33,qaqortoq,60.7167,-46.0333,273.27,76,17,4.86,GL,1684884088
34,longyearbyen,78.2186,15.6401,275.06,80,75,12.35,SJ,1684884033
35,bilibino,68.0546,166.4372,280.78,52,60,1.77,RU,1684884030
36,ivano-frankivsk,48.9215,24.7097,284.91,91,59,1.96,UA,1684884300
37,new norfolk,-42.7826,147.0587,287.43,69,89,3.24,AU,1684884043
38,kailua-kona,19.6406,-155.9956,301.13,77,75,4.12,US,1684884036
39,blackmans bay,-43.0167,147.3167,286.77,73,60,2.49,AU,1684884014
40,kone,-21.0595,164.8658,296.97,50,8,3.42,NC,1684884053
41,hirara,24.8,125.2833,298.07,73,40,3.09,JP,1684884367
42,mejit,10.2753,170.8646,300.84,79,100,7.43,MH,1684884367
43,lihue,21.9789,-159.3672,300.73,75,75,5.66,US,1684884084
44,chonchi,-42.6128,-73.8092,283.22,91,86,6.78,CL,1684884367
45,fort bragg,35.139,-79.006,297.23,35,0,4.63,US,1684883759
46,whitehorse,60.7161,-135.0538,292.05,23,75,1.79,CA,1684883928
47,novyy urengoy,66.0833,76.6333,273.27,87,18,2.76,RU,1684884116
48,al mindak,20.1588,41.2834,288.93,46,4,2.52,SA,1684884368
49,portland,45.5234,-122.6762,294.06,48,75,2.68,US,1684883928
50,tiksi,71.6872,128.8694,267.79,84,25,1.38,RU,1684884052
51,puerto natales,-51.7236,-72.4875,272.97,95,85,1.38,CL,1684884059
52,agaie,9.0167,6.3167,298.77,86,100,1.45,NG,1684884369
53,ust-nera,64.5667,143.2,275.49,96,100,3.17,RU,1684884033
54,jamestown,42.097,-79.2353,294.95,43,20,2.06,US,1684884073
55,hawaiian paradise park,19.5933,-154.9731,300.22,80,75,3.6,US,1684884067
56,haiku-pauwela,20.9219,-156.3051,302.16,48,20,10.8,US,1684884058
57,neryungri,56.6709,124.6491,276.89,82,95,1.38,RU,1684884370
58,cruzeiro do sul,-29.5128,-51.9853,295.11,89,9,0.56,BR,1684884370
59,tyup,42.7276,78.3648,280.99,92,100,2.02,KG,1684884370
60,faridabad,28.4333,77.3167,301.29,32,100,3.27,IN,1684884371
61,tindouf,27.6711,-8.1474,290.4,55,0,10.8,DZ,1684884371
62,paracatu,-17.2222,-46.8747,291.35,55,69,0.73,BR,1684884159
63,wailua homesteads,22.0669,-159.378,300.39,75,75,5.66,US,1684884036
64,bredasdorp,-34.5322,20.0403,285.05,91,88,1.54,ZA,1684884062
65,aasiaat,68.7098,-52.8699,271.3,87,100,7.48,GL,1684884045
66,qamdo,31.1667,97.2333,273.87,39,17,0.88,CN,1684884029
67,kani keli,-12.9536,45.1033,298.74,63,12,5.7,YT,1684884372
68,uturoa,-16.7333,-151.4333,299.75,80,79,5.36,PF,1684884372
69,bethel,41.3712,-73.414,291.36,58,0,4.12,US,1684884016
70,anadyr,64.75,177.4833,277.43,69,75,5.0,RU,1684884032
71,ulladulla,-35.35,150.4667,284.8,56,78,1.86,AU,1684884114
72,yellowknife,62.456,-114.3525,290.44,29,75,6.71,CA,1684884037
73,saint-francois,46.4154,3.9054,285.84,88,0,3.6,FR,1684884160
74,ostersund,63.1792,14.6357,280.16,39,40,8.94,SE,1684884373
75,tangalle,6.024,80.7911,298.37,88,4,3.25,LK,1684884013
76,port mathurin,-19.6833,63.4167,298.15,60,32,5.55,MU,1684884041
77,invercargill,-46.4,168.35,282.12,70,68,4.15,NZ,1684884035
78,cova figueira,14.8905,-24.2934,293.64,82,61,5.11,CV,1684884374
79,belyy yar,53.6039,91.3903,283.09,46,0,3.0,RU,1684884123
80,puerto penasco,31.3167,-113.5333,298.1,74,0,3.58,MX,1684884375
81,yuanping,38.7153,112.7575,289.39,36,80,1.11,CN,1684884375
82,ghat,24.9647,10.1728,302.02,21,90,0.28,LY,1684884148
83,badger,64.8,-147.5333,293.15,30,20,2.57,US,1684884101
84,east london,-33.0153,27.9116,289.23,55,15,2.38,ZA,1684884071
85,cabo san lucas,22.8909,-109.9124,307.93,22,40,5.14,MX,1684883785
86,batticaloa,7.7102,81.6924,299.48,83,5,1.77,LK,1684884376
87,tazovsky,67.4667,78.7,272.75,89,29,2.99,RU,1684884065
88,nemuro,43.3236,145.575,277.8,85,100,8.62,JP,1684883970
89,baberu,25.55,80.7167,307.13,22,71,3.53,IN,1684884376
90,port elizabeth,-33.918,25.5701,282.31,81,0,2.06,ZA,1684884039
91,estacion santa engracia,24.0159,-99.2015,304.21,37,46,3.09,MX,1684884377
92,kingston,17.997,-76.7936,300.51,87,75,3.09,JM,1684883803
93,punta arenas,-53.15,-70.9167,273.21,93,0,3.6,CL,1684884083
94,hamilton,39.1834,-84.5333,300.25,51,0,5.66,US,1684884046
95,ilulissat,69.2167,-51.1,269.16,93,100,3.6,GL,1684884030
96,saldanha,-33.0117,17.9442,282.18,85,98,2.71,ZA,1684884378
97,margate,51.3813,1.3862,283.32,76,98,2.81,GB,1684884022
98,dizangue,3.7667,9.9833,297.4,97,99,0.47,CM,1684884378
99,novyy chirkey,43.162,47.0559,291.07,73,50,1.14,RU,1684884378
100,reyes,-14.3167,-67.3833,296.25,97,32,0.58,BO,1684884378
101,mahavelona,-17.6848,49.5087,295.14,92,61,3.67,MG,1684884379
102,cockburn town,21.4612,-71.1419,300.6,72,0,1.4,TC,1684884037
103,san antonio,29.4241,-98.4936,305.64,58,75,4.63,US,1684884379
104,reggane,26.7158,0.1714,299.19,9,19,4.78,DZ,1684884024
105,negapatam,10.7667,79.8333,301.63,80,1,6.27,IN,1684884379
106,aykhal,66.0,111.5,272.96,84,84,5.67,RU,1684884042
107,vorgashor,67.5833,63.95,279.38,74,61,2.72,RU,1684884060
108,mariehamn,60.0973,19.9348,283.05,93,0,1.03,AX,1684884104
109,dunedin,-45.8742,170.5036,285.26,55,12,1.34,NZ,1684884022
110,baikunthpur,23.25,82.55,301.54,28,25,1.54,IN,1684884380
111,kogalym,62.2654,74.4791,279.61,63,4,3.35,RU,1684884381
112,la foa,-21.7108,165.8276,295.7,54,27,5.11,NC,1684884381
113,crane,31.3974,-102.3501,307.35,13,0,0.18,US,1684884087
114,berezovyy,51.6667,135.7,288.02,70,99,1.43,RU,1684884139
115,olonkinbyen,70.9221,-8.7187,274.24,99,100,4.06,SJ,1684884029
116,kremmen,52.7622,13.0252,284.85,78,98,4.44,DE,1684884382
117,abepura,-2.6333,140.5833,299.6,83,40,1.03,ID,1684884383
118,sarangani,5.4033,125.4636,301.92,75,99,5.15,PH,1684884383
119,velyki kopani,46.4868,32.975,288.76,84,12,1.97,UA,1684884384
120,port lincoln,-34.7333,135.8667,287.7,67,64,7.27,AU,1684884053
121,dayr hafir,36.1569,37.7078,291.58,66,1,3.62,SY,1684884384
122,dakhla,23.6848,-15.958,291.79,80,98,7.84,EH,1684884384
123,nadym,65.5333,72.5167,276.02,69,17,2.71,RU,1684884385
124,nuuk,64.1835,-51.7216,272.49,80,75,11.83,GL,1684884055
125,tralee,52.2704,-9.7026,282.35,94,99,1.21,IE,1684884046
126,rawson,-43.3002,-65.1023,286.45,35,1,3.99,AR,1684884385
127,canoinhas,-26.1772,-50.39,288.11,83,0,1.35,BR,1684884385
128,ancud,-41.8697,-73.8203,282.64,85,72,12.78,CL,1684884038
129,castillos,-34.1667,-53.8333,293.16,77,95,3.13,UY,1684884046
130,ouesso,1.6136,16.0517,296.23,80,93,0.14,CG,1684884386
131,guerrero negro,27.9769,-114.0611,292.81,61,4,7.61,MX,1684884386
132,saint-philippe,-21.3585,55.7679,296.92,79,61,2.15,RE,1684884068
133,klyuchi,52.2667,79.1667,283.91,49,0,3.41,RU,1684884128
134,petrolina,-9.3986,-40.5008,296.18,100,0,2.06,BR,1684884387
135,kruisfontein,-34.0033,24.7314,285.11,60,12,2.0,ZA,1684884050
136,hermanus,-34.4187,19.2345,285.26,75,71,1.42,ZA,1684884069
137,tofol,5.3248,163.0078,302.03,84,75,5.14,FM,1684884064
138,sitka,57.0531,-135.33,285.09,62,100,4.63,US,1684884134
139,minas de marcona,-15.2119,-75.1103,288.26,83,40,6.27,PE,1684884057
140,mukalla,14.5425,49.1242,301.63,72,11,2.59,YE,1684884388
141,iskateley,67.6803,53.1512,286.65,68,73,3.9,RU,1684884055
142,margaret river,-33.95,115.0667,287.44,62,98,7.42,AU,1684884034
143,tezu,27.9167,96.1667,295.84,66,86,1.65,IN,1684884081
144,alo,7.4178,6.7371,300.31,78,99,1.18,NG,1684884389
145,mahalapye,-23.1041,26.8142,288.25,73,0,4.38,BW,1684884389
146,altamira,-3.2033,-52.2064,298.2,90,100,0.32,BR,1684884389
147,zarah sharan,33.1467,68.7917,286.98,60,66,1.39,AF,1684884390
148,mount gambier,-37.8333,140.7667,283.89,85,33,4.19,AU,1684884074
149,vilyuchinsk,52.9306,158.4028,280.3,90,86,2.15,RU,1684884092
150,mogok,22.9167,96.5,294.24,68,48,1.21,MM,1684884390
151,keflavik,64.0049,-22.5624,279.39,56,100,21.09,IS,1684884390
152,tromso,69.6496,18.957,279.16,87,75,0.0,NO,1684884061
153,askoy,60.4092,5.226,282.01,95,20,2.57,NO,1684884391
154,sanya,18.2431,109.505,302.24,84,0,2.0,CN,1684884391
155,rongelap,11.1635,166.8941,301.34,75,84,6.59,MH,1684884079
156,sungai raya,0.7,108.9,299.71,87,100,3.33,ID,1684884391
157,colonia,50.9333,6.95,282.92,78,0,2.06,DE,1684883933
158,zhangzhou,24.5133,117.6556,296.11,72,86,0.87,CN,1684884392
159,mogocha,53.7333,119.7667,281.85,83,100,1.03,RU,1684884392
160,port blair,11.6667,92.75,299.17,94,40,0.0,IN,1684884080
161,kiruna,67.8557,20.2251,277.66,81,100,1.54,SE,1684884393
162,amos,48.5669,-78.1162,283.94,94,100,6.44,CA,1684884393
163,petropavlovsk-kamchatsky,53.0452,158.6483,279.48,65,75,2.0,RU,1684884015
164,chernyshevskiy,63.0128,112.4714,277.32,82,98,2.12,RU,1684884393
165,okhotsk,59.3833,143.3,278.9,61,0,1.46,RU,1684884100
166,port alfred,-33.5906,26.891,289.84,53,8,2.04,ZA,1684884070
167,lompoc,34.6391,-120.4579,290.71,77,100,3.6,US,1684883835
168,tshabong,-26.05,22.45,290.56,18,0,2.1,BW,1684884079
169,codrington,-38.2667,141.9667,284.66,74,79,6.7,AU,1684884040
170,viedma,-40.8135,-62.9967,287.84,82,100,2.34,AR,1684884395
171,alassio,44.0039,8.1671,291.45,83,30,1.34,IT,1684884395
172,yakeshi,49.2833,120.7333,289.54,46,86,1.94,CN,1684884395
173,upata,8.0086,-62.3989,300.48,62,99,1.62,VE,1684883828
174,mahibadhoo,3.7833,72.9667,301.41,75,7,3.21,MV,1684884110
175,yanchep,-31.55,115.6833,289.23,79,69,7.19,AU,1684884396
176,weno,7.4515,151.8468,304.12,79,75,3.6,FM,1684884108
177,angaur state,6.906,134.13,300.68,82,99,8.1,PW,1684884396
178,yuzhno-kurilsk,44.0306,145.8556,278.76,79,100,3.61,RU,1684884035
179,bobrov,51.0961,40.0333,286.79,93,95,1.09,RU,1684884397
180,malvan,16.0667,73.4667,301.18,82,7,3.85,IN,1684884397
181,az zulfi,26.2995,44.8154,300.72,35,91,4.05,SA,1684884397
182,vanimo,-2.6741,141.3028,299.56,85,100,0.54,PG,1684884397
183,tamanrasset,22.785,5.5228,300.1,21,0,5.14,DZ,1684884398
184,livingstone,-17.8419,25.8543,290.02,38,0,1.05,ZM,1684884398
185,nova sintra,14.8667,-24.7167,293.5,79,54,6.3,CV,1684883777
186,avarua,-21.2078,-159.775,299.18,65,20,1.54,CK,1684884026
187,stanley,54.868,-1.6985,284.1,81,99,3.75,GB,1684884037
188,kurtamysh,54.9103,64.4319,287.48,48,13,2.01,RU,1684884399
189,katsuura,35.1333,140.3,288.96,70,85,4.69,JP,1684884399
190,cannonvale,-20.2833,148.7,293.81,72,71,7.5,AU,1684884056
191,yashkul',46.1711,45.3435,293.12,64,23,2.81,RU,1684884399
192,umm kaddadah,13.6017,26.6876,302.37,10,0,3.97,SD,1684884399
193,adrar,20.5022,-10.0711,299.27,24,84,4.32,MR,1684884400
194,dapaong,10.8639,0.205,306.43,41,98,3.36,TG,1684884400
195,limassol,34.675,33.0333,292.19,88,0,4.12,CY,1684884400
196,port macquarie,-31.4333,152.9167,288.09,55,15,1.79,AU,1684884062
197,acajutla,13.5928,-89.8275,303.47,64,100,3.38,SV,1684884401
198,stepnoye,51.4,46.8667,289.34,80,90,5.21,RU,1684884401
199,gebeit,21.0667,36.3167,298.86,65,30,2.44,SD,1684884318
200,mata-utu,-13.2816,-176.1745,300.58,78,86,1.93,WF,1684884401
201,talnakh,69.4865,88.3972,272.71,95,62,4.46,RU,1684884032
202,arraial do cabo,-22.9661,-42.0278,295.9,82,0,8.62,BR,1684884035
203,tulun,54.5611,100.5792,281.02,84,100,6.78,RU,1684884402
204,empalme,27.9667,-110.8167,308.1,29,0,7.2,MX,1684884402
205,iqaluit,63.7506,-68.5145,267.0,73,75,7.72,CA,1684884026
206,sena madureira,-9.0656,-68.6569,298.13,93,89,0.32,BR,1684884402
207,yangambi,0.8102,24.4336,293.99,93,100,1.62,CD,1684884403
208,la passe,45.5549,-0.8967,289.28,78,15,7.93,FR,1684884044
209,cidreira,-30.1811,-50.2056,293.38,84,8,4.28,BR,1684884403
210,twon-brass,4.3151,6.2418,300.55,81,100,3.34,NG,1684884403
211,acapulco de juarez,16.8634,-99.8901,305.05,58,40,4.63,MX,1684884267
212,thunder bay,48.4001,-89.3168,283.14,93,100,1.54,CA,1684884335
213,kirakira,-10.4544,161.9205,302.51,74,59,2.67,SB,1684884025
214,carnarvon,-24.8667,113.6333,293.51,70,98,3.04,AU,1684884087
215,quang ngai,15.1167,108.8,299.49,78,6,1.72,VN,1684884108
216,kodinsk,58.6881,99.1844,275.25,88,39,4.76,RU,1684884034
217,ximeicun,24.9639,118.3794,293.27,80,99,0.51,CN,1684884404
218,carbonear,47.7332,-53.2148,276.34,89,94,7.06,CA,1684884405
219,magistral'nyy,56.1725,107.4458,278.97,95,100,1.97,RU,1684884405
220,dayrut,27.556,30.8076,300.8,17,0,3.1,EG,1684884405
221,dudinka,69.4058,86.1778,272.94,95,34,3.81,RU,1684884405
222,fale old settlement,-9.3852,-171.2468,301.21,73,33,3.57,TK,1684884051
223,betio village,1.358,172.9211,303.17,85,100,3.51,KI,1684884406
224,kirundo,-2.5833,30.1667,288.68,96,53,1.25,BI,1684884406
225,polva,58.0603,27.0694,283.7,68,75,0.92,EE,1684884407
226,san pedro,14.35,121.0167,302.79,81,75,2.57,PH,1684884407
227,shenjiamen,29.9576,122.298,290.72,76,53,4.27,CN,1684884407
228,wankyi,7.7392,-2.1046,297.03,92,55,2.29,GH,1684884407
229,huarmey,-10.0681,-78.1522,296.02,80,85,4.55,PE,1684884101
230,timbuktu,16.7735,-3.0074,306.67,16,88,4.08,ML,1684884408
231,coahuayana de hidalgo,18.7,-103.6583,304.42,54,60,3.1,MX,1684884052
232,rio grande,-32.035,-52.0986,290.21,88,53,4.01,BR,1684883841
233,kemijarvi,66.7131,27.4306,282.41,96,23,2.49,FI,1684884408
234,lorengau,-2.0226,147.2712,299.99,83,100,3.02,PG,1684884148
235,walvis bay,-22.9575,14.5053,288.28,78,0,2.48,NA,1684884030
236,leninskoye,41.7589,69.3864,287.77,62,13,1.6,KZ,1684884409
237,paradip garh,20.3167,86.6167,301.49,90,32,6.5,IN,1684884409
238,afaahiti,-17.75,-149.2833,301.08,83,68,5.99,PF,1684884065
239,broken hill,-31.95,141.4333,285.92,42,4,3.69,AU,1684884376
240,miramichi,47.0043,-65.4654,288.19,53,8,3.28,CA,1684884060
241,katsuren-haebaru,26.3369,127.8719,296.58,64,20,3.6,JP,1684884056
242,muynoq,43.7683,59.0214,295.41,33,70,6.33,UZ,1684884410
243,fauske,67.2588,15.3918,279.17,81,32,2.39,NO,1684884410
244,luderitz,-26.6481,15.1594,286.61,71,9,1.82,NA,1684884080
245,polyarnyy,69.1989,33.4478,281.48,86,45,3.43,RU,1684884325
246,undurkhaan,47.3194,110.6556,286.39,49,93,7.72,MN,1684884411
247,ierapetra,35.01,25.7353,291.01,71,2,0.45,GR,1684884411
248,lakatoro,-16.0999,167.4164,299.07,75,89,7.22,VU,1684884412
249,charters towers,-20.1,146.2667,293.1,60,17,5.89,AU,1684884412
250,barreiro do jaiba,-15.6167,-43.6,297.83,48,97,5.48,BR,1684884412
251,christchurch,-43.5333,172.6333,284.77,79,100,3.6,NZ,1684884412
252,kenai,60.5544,-151.2583,287.2,44,100,5.66,US,1684884075
253,atafu village,-8.5421,-172.5159,301.4,74,97,3.42,TK,1684884028
254,kapuskasing,49.4169,-82.4331,280.2,93,100,5.14,CA,1684884054
255,pimentel,-6.8367,-79.9342,299.31,69,0,8.23,PE,1684884413
256,labrador city,52.9463,-66.9114,284.1,54,100,11.32,CA,1684884108
257,el bolson,-41.9667,-71.5167,276.23,96,83,2.97,AR,1684884414
258,sisimiut,66.9395,-53.6735,271.87,72,100,11.43,GL,1684884094
259,prado,-17.3411,-39.2208,295.44,85,98,2.28,BR,1684884414
260,sao joao da barra,-21.6403,-41.0511,294.2,85,84,4.74,BR,1684884414
261,varkaus,62.3153,27.873,283.32,86,50,2.01,FI,1684884415
262,eyl,7.9803,49.8164,300.71,78,82,5.6,SO,1684884415
263,tahe,52.3333,124.7333,285.58,76,73,1.3,CN,1684884415
264,prince rupert,54.3161,-130.3201,285.2,78,0,8.75,CA,1684884415
265,itoman,26.1247,127.6694,296.58,64,20,4.63,JP,1684884416
266,smithers,54.7804,-127.1743,295.33,33,20,4.12,CA,1684884416
267,winnemucca,40.973,-117.7357,299.18,21,75,6.17,US,1684884416
268,seaside,36.6111,-121.8516,291.24,76,40,8.23,US,1684884416
269,dalandzadgad,43.5708,104.425,281.73,72,95,11.43,MN,1684884417
270,mahanje,-9.9333,35.3333,290.42,95,76,1.23,TZ,1684884417
271,montepuez,-13.1256,38.9997,290.57,89,22,2.3,MZ,1684884417
272,nahiyat ghammas,31.7431,44.6196,303.23,20,49,2.39,IQ,1684884417
273,campbell river,50.0163,-125.2446,291.26,48,75,0.0,CA,1684884417
274,dhidhdhoo,6.8833,73.1,301.52,77,11,3.57,MV,1684884215
275,aljezur,37.3191,-8.8033,289.52,85,89,1.71,PT,1684884418
276,champerico,14.3,-91.9167,302.45,64,53,4.15,GT,1684884096
277,selfoss,63.9331,-20.9971,277.06,71,99,16.07,IS,1684884064
278,constantia,44.1833,28.65,286.53,86,4,2.93,RO,1684884033
279,nagqu,31.5,92.0,274.38,54,100,1.01,CN,1684884063
280,kidal,18.4411,1.4078,307.71,15,99,4.88,ML,1684884351
281,udachny,66.4167,112.4,276.18,74,59,5.53,RU,1684884099
